site,depth_num,treatment,depth,KCL_ug_NO3_N_g_soil,KCL_ug_NH4_N_g_soil,bulk_density
C-N,7,forest,7-Jun,0.32654484,0.144470335,1.30137457
C-N,8,forest,8-Jul,1.0060722,0.518483784,1.281408935
T179,1,soy,0-1,1.71856314,0.421329248,1.108235968
T179,2,soy,2-Jan,0.363657372,0.244718422,1.027766323
T179,3,soy,3-Feb,2.995078032,0.175963914,1.005601375
T179,4,soy,4-Mar,12.88563714,0.965208474,0.989278351
T179,5,soy,5-Apr,3.983527188,0.216094878,1.102439863
T179,6,soy,6-May,4.31399736,0.24755768,1.268006873
T179,7,soy,7-Jun,1.567322784,0.412848576,1.30137457
T179,8,soy,8-Jul,1.896806241,0.285209424,1.281408935
T110,1,maize,0-1,2.168719035,0.396198923,1.223069874
T110,2,maize,2-Jan,4.81099002,0.315250558,1.172027491
T110,3,maize,3-Feb,20.17072818,0,1.204467354
T110,4,maize,4-Mar,31.53506985,0.234951435,1.22242268
T110,5,maize,5-Apr,11.69496546,0,1.197955326
T110,6,maize,6-May,3.684259809,0.59231007,1.174003436
T110,7,maize,7-Jun,3.43783872,0,1.182714777
T110,8,maize,8-Jul,3.712719024,0.263140248,1.247164948
APP5,1,maize,0-1,0.384121866,0,1.223069874
APP5,2,maize,2-Jan,1.896676236,0.977543883,1.172027491
APP5,3,maize,3-Feb,8.90425143,0,1.204467354
APP5,4,maize,4-Mar,8.91735399,0,1.22242268
APP5,5,maize,5-Apr,3.80429208,0,1.197955326
APP5,6,maize,6-May,1.76632176,0.29460152,1.174003436
APP5,7,maize,7-Jun,1.20029424,0,1.182714777
APP5,8,maize,8-Jul,1.1226444,0.02858864,1.247164948
APP4,1,maize,0-1,1.720902993,0,1.108235968
APP4,2,maize,2-Jan,7.87469472,0,1.027766323
APP4,3,maize,3-Feb,12.18717702,0,1.005601375
APP4,4,maize,4-Mar,14.81440752,0,0.989278351
APP4,5,maize,5-Apr,3.59654448,0,1.102439863
APP4,6,maize,6-May,2.82004512,1.38909912,1.268006873
APP4,7,maize,7-Jun,0.817494,3.88906848,1.30137457
APP4,8,maize,8-Jul,1.68117912,3.2759328,1.281408935
APP2a,1,forest,0-1,2.089048974,0.741817182,1.108235968
APP2a,2,forest,2-Jan,4.420120428,1.723822317,1.027766323
APP2a,3,forest,3-Feb,4.70407752,5.4686448,1.005601375
APP2a,4,forest,4-Mar,0,0,0.989278351
APP2a,5,forest,5-Apr,4.25111952,0.15045672,1.102439863
APP2a,6,forest,6-May,2.12323896,0.15389352,1.268006873
APP2a,7,forest,7-Jun,0.964752741,0.280186752,1.30137457
APP2a,8,forest,8-Jul,0.142880931,0,1.281408935
APP2,1,forest,0-1,1.135084932,0.929757094,1.223069874
APP2,2,forest,2-Jan,0.177334236,0.762760402,1.172027491
APP2,3,forest,3-Feb,0.291561414,0.356352094,1.204467354
APP2,4,forest,4-Mar,0.257051475,0,1.22242268
APP2,5,forest,5-Apr,0.40139511,0.371130592,1.197955326
APP2,6,forest,6-May,0.321618294,0.348535398,1.174003436
APP2,7,forest,7-Jun,0.32306736,0.217954352,1.182714777
APP2,8,forest,8-Jul,0.058580544,0.968769824,1.247164948
MT5?,1,maize,0-1,1.496677338,2.170192824,1.223069874
MT5?,2,maize,2-Jan,1.141505379,0.226368027,1.172027491
MT5?,3,maize,3-Feb,5.29974186,0.239105429,1.204467354
MT5?,4,maize,4-Mar,20.06504331,0.651803009,1.22242268
MT5?,5,maize,5-Apr,31.96042407,0.920599166,1.197955326
MT5?,6,maize,6-May,25.4003352,0.62980936,1.174003436
MT5?,7,maize,7-Jun,8.6267616,1.64368144,1.182714777
MT5?,8,maize,8-Jul,7.7167584,0.35142424,1.247164948
